time,vehicles,speed,traffic
16:16:07,6,SLOW,MEDIUM
16:16:07,6,SLOW,MEDIUM
16:16:07,6,SLOW,MEDIUM
16:16:08,6,SLOW,MEDIUM
16:16:08,6,SLOW,MEDIUM
16:16:09,6,SLOW,MEDIUM
16:16:09,6,SLOW,MEDIUM
16:16:10,5,SLOW,MEDIUM
16:16:10,4,SLOW,LOW
16:16:10,5,SLOW,MEDIUM
16:16:10,3,SLOW,LOW
16:16:10,4,SLOW,LOW
16:16:10,5,SLOW,MEDIUM
16:16:10,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:11,5,SLOW,MEDIUM
16:16:11,4,SLOW,LOW
16:16:11,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,4,SLOW,LOW
16:16:12,5,SLOW,MEDIUM
16:16:12,6,SLOW,MEDIUM
16:16:13,4,SLOW,LOW
16:16:13,4,SLOW,LOW
16:16:13,5,SLOW,MEDIUM
16:16:13,5,SLOW,MEDIUM
16:16:13,5,SLOW,MEDIUM
16:16:13,6,SLOW,MEDIUM
16:16:13,6,SLOW,MEDIUM
16:16:13,6,SLOW,MEDIUM
16:16:14,4,SLOW,LOW
16:16:14,4,SLOW,LOW
16:16:14,4,SLOW,LOW
16:16:14,5,SLOW,MEDIUM
16:16:14,5,SLOW,MEDIUM
16:16:14,4,SLOW,LOW
16:16:14,4,FAST,LOW
16:16:14,5,SLOW,MEDIUM
16:16:15,4,SLOW,LOW
16:16:15,4,FAST,LOW
16:16:15,4,FAST,LOW
16:16:15,4,SLOW,LOW
16:16:15,4,SLOW,LOW
16:16:15,5,SLOW,MEDIUM
16:16:15,5,SLOW,MEDIUM
16:16:16,5,SLOW,MEDIUM
16:16:16,5,SLOW,MEDIUM
16:16:16,5,SLOW,MEDIUM
16:16:16,5,SLOW,MEDIUM
16:16:16,5,SLOW,MEDIUM
16:16:16,5,SLOW,MEDIUM
16:16:17,5,SLOW,MEDIUM
16:16:17,5,SLOW,MEDIUM
16:16:17,5,SLOW,MEDIUM
16:16:18,5,SLOW,MEDIUM
16:16:18,5,SLOW,MEDIUM
16:16:18,5,SLOW,MEDIUM
16:16:18,4,SLOW,LOW
16:16:18,4,SLOW,LOW
16:16:18,4,SLOW,LOW
16:16:19,4,SLOW,LOW
16:16:19,4,SLOW,LOW
16:16:19,4,SLOW,LOW
16:16:19,4,SLOW,LOW
16:16:19,4,SLOW,LOW
16:16:19,4,SLOW,LOW
16:16:20,4,SLOW,LOW
16:16:20,4,SLOW,LOW
